"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"Psmb8.1",NA,28.5625272940003,NA,27.0590986778096,27.6100630770979,NA
"Fn1",36.7615389986405,37.0278719370136,36.7188079730887,36.8713084618295,36.9428395103457,37.0921097084085
"C5",33.8567520887584,33.9651636377759,33.8758230822236,33.7522461648072,33.8865827083078,34.1217790716111
"Dnm2.Dnm3",NA,24.3177587199479,28.1515598690728,26.455506831528,NA,NA
"Prdx2",NA,NA,NA,24.0285050518271,24.132888767042,24.5587668194517
"Hba1",33.2691904713167,33.2634652064176,35.0060445700587,34.5082300534582,34.591453000786,34.0449851808101
"X.1",30.6023133246259,28.6495191126728,29.9472623764293,24.8476629922625,30.0034331142114,30.5923667266188
"Sepp1",27.0143563010334,28.0486921550285,28.3451118803219,27.7836922880676,27.6321470014734,27.8908750590838
"X.2",29.2419541370229,29.5457998893039,30.4434200344365,30.3957058556008,30.1178066400354,29.9174105063275
"LOC100910259.Ces2a.LOC679149.Ces2e.Ces2g.Ces2c.LOC100365112",25.0064164852243,NA,NA,25.3424862567794,NA,26.1590593694592
"X.3",28.7516836942633,28.6291617071401,NA,27.9277878162661,28.6468442155888,28.5815432204823
"Ywhaz.Ywhaq.Ywhab",25.9553340095746,27.056930375676,26.9590322927328,26.8406215860833,26.5377294563371,25.2913356966025
"Ppp1cc.Ppp1cb.Ppp1ca",22.5066388167757,23.9852881429287,23.732830714894,22.8471850729416,NA,NA
"C4a",27.9966884599532,28.0729604854949,26.7896739293534,26.1382899267551,27.1757896740499,27.7652809383456
"Man1a1",NA,23.7975863307603,NA,24.5213320563092,NA,NA
"X.4",28.1109800924982,28.5588470869424,29.1161712121406,29.3155535984869,28.7018690588236,27.7665451850557
"X.5",26.9146761865497,28.1711193659378,26.8607677892582,27.1637496270108,27.3174309699656,27.1649965130726
"X.6",28.6664475100174,28.3807172146996,27.523352690337,27.8827366981631,29.6584678878007,27.2536769898215
"X.7",NA,26.8884383676405,NA,26.6967054588916,26.6518470345575,25.7700413747778
"X.8",27.9553229226236,29.5758394743107,28.1513179238709,28.9437181836437,29.1752900064377,29.1689219557623
"X.10",27.1865971391429,26.5568829000619,27.1205035214227,27.6343646136551,27.1246503345513,NA
"Tspan9",27.5894943416006,27.7759918861793,26.7399536199803,27.7472080368507,27.0709152696138,26.283921032111
"Serpina1",35.5342094470417,35.0362901629449,35.4480996393695,35.7437709492703,35.1976596500663,35.158545145278
"X.11",27.0606454722548,25.2724156463746,28.3659465969358,28.1170387153911,26.7412402472312,27.5526680422595
"Capn5",25.7176159754132,27.3116399567238,25.9193441854671,25.6877112043687,25.5058517655998,NA
"LOC299282",33.3015747848251,32.9306348830141,33.8629524618636,33.8042434495948,32.7290274552393,32.9389813446061
"X.12",25.1615793950392,25.9180705234741,25.9775575150091,25.1375084017951,25.3751752207998,24.840861655148
"X.13",26.9056389363482,26.4062155174874,27.2769294588638,26.5325964663453,27.8287484778982,27.9626769979324
"X.14",28.8418815032348,32.4227703021221,32.0328877237475,32.84830643973,32.6266228219705,31.2653388910824
"X.15",31.3145167606102,30.7529439616967,30.1653080662775,31.1061822165601,29.9243653190488,29.9930747762596
"Eea1",30.4957180593099,30.0277566156443,29.6858214132591,29.7555885369286,29.7470639458592,29.214077875565
"X.16",30.0135845145904,29.521144817332,30.2537220677025,29.9780105173315,29.9497687481374,29.8406515969012
"Slc44a1",NA,26.5587814138731,NA,25.6190772300449,25.9608226622459,26.4206297555245
"X.17",NA,28.127506669752,NA,26.212116655511,27.964330643138,29.0603877883202
"Ttyh3",24.653815987076,25.1790024447582,24.5685991172892,24.2020975117049,23.5214518765028,23.6914700645496
"Psma7.Psma8",28.4210151679468,28.2759976429439,28.0136643737164,27.7899226269994,28.3011222960458,28.8513257620384
"Cfi",30.8890334161294,30.8177223844179,30.4590455753846,30.5522466114596,30.7957547139785,30.701819496719
"Apoe",32.7980554630622,32.5166719513541,32.3099718129782,33.0511744000309,34.0742340840831,33.5272922634258
"X.18",33.0179702152042,32.3116237178691,33.0184345842293,33.3622824551161,32.5010682056894,32.6210861446245
"X.19",24.9646391137559,25.6810492042106,25.9460354525895,27.3046076997846,28.3066949073933,24.6474619398718
"X.20",31.9565696705401,31.1613487360575,31.3983588071273,31.2533839492585,31.4593387762881,30.9891542232039
"X.21",29.3407048897526,29.236376187359,28.1321729669574,27.2212186291789,28.3441384161294,29.7091362291156
