"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"X.43",1.75667919294434,27.636045038735,4.57545528301966,0.00331373768487761,0.491348851624095,-4.3913993119482
"Glul",-0.936604276039493,25.6431484964937,-3.89801808986698,0.00721438184580708,0.491348851624095,-4.41204941360591
"Flna",-1.58359837691872,28.2977553112651,-3.62783340115832,0.0100316436084461,0.491348851624095,-4.42223940372915
"X.94",-2.3819003211481,26.0284561457221,-3.62538464462731,0.0100621752268784,0.491348851624095,-4.42233765217136
"Fth1",-0.980441656500858,25.2606695156379,-3.60416331520981,0.0103310854590147,0.491348851624095,-4.42319372055166
"X.64",0.847590572663414,27.2023677661912,3.5547163286841,0.0109887987005453,0.491348851624095,-4.42522097191713
"Tubb4b.Tubb4a",-1.11193095800673,25.6574817031362,-3.43032526638815,0.0128555913466413,0.491348851624095,-4.43052798691576
"F7",-0.943751851249917,26.6778919613616,-3.41024508814807,0.0131882440384858,0.491348851624095,-4.43141323709638
"LOC100362687",-0.758951583022924,27.2888572288426,-3.40880601073532,0.0132124427090328,0.491348851624095,-4.43147699076695
"Pdcd6",-1.18006798004749,25.9620343815448,-3.36749543742859,0.0139281911894056,0.491348851624095,-4.43332499584371
"Dmbt1",-1.26968002237746,25.5476887649403,-3.24463899137188,0.0163185682425004,0.491348851624095,-4.43902944762279
"LOC367586",1.00495068251248,25.8328880666668,3.19445592943398,0.0174202848690931,0.491348851624095,-4.44145174343026
"Sri",-1.04459274613495,27.3612266174542,-3.18643698975901,0.0176036910197203,0.491348851624095,-4.44184387430485
"Acta1.Actc1.Acta2.Actg2",-0.894050359219126,28.5739783880945,-3.16303819957493,0.0181509276089126,0.491348851624095,-4.4429961384234
"X.35",-1.11113183853386,29.8532425471695,-3.00608354418584,0.0223328837577342,0.491348851624095,-4.45104162109006
"Tuba4a",-1.28050811640595,30.2667708699998,-2.93227985813703,0.0246485853818375,0.491348851624095,-4.45501997122475
"Ywhaz.Ywhaq.Ywhab",-1.02406169732596,26.4401639028344,-2.90993120233936,0.0253996816865404,0.491348851624095,-4.45624985749328
"Tubb2a.Tubb2b",-1.06186849684089,30.4956779872964,-2.74370088822723,0.0318164546098818,0.491348851624095,-4.46577253328977
"Ilk",-1.17714355593813,25.3750526225905,-2.74279810998167,0.0318556911173905,0.491348851624095,-4.46582607490993
"X.63",-0.621682807902598,30.5895542495688,-2.65679031661388,0.0358398178968074,0.491348851624095,-4.47101851908792
"Fermt3",-1.20882250921712,27.6838855214596,-2.62643191700749,0.0373693359228637,0.491348851624095,-4.47289473159523
"Colec11",-1.00810114562356,25.4017420489001,-2.6257889908786,0.0374024638566271,0.491348851624095,-4.47293471148537
"Actn1",-1.13289370150042,28.1187662963753,-2.58657484581915,0.0394827827026993,0.491348851624095,-4.47539250265508
"Plac8",-0.697420381526559,29.0895597589894,-2.56779113622835,0.0405221170205206,0.491348851624095,-4.47658324435037
"Pkm",-2.67617659576879,28.0197478938749,-2.52995171261711,0.042704157905892,0.491348851624095,-4.4790084303976
"Prl4a1",0.57727383670694,29.5525519964335,2.51597513398198,0.0435410260481897,0.491348851624095,-4.47991314991761
"Sod3",-3.30619844789469,27.704736967812,-2.50738136835316,0.0440641113688208,0.491348851624095,-4.4804718263018
"Agt",-0.690378546722815,29.8144055738275,-2.49287235182317,0.0449622390850321,0.491348851624095,-4.48141918156791
"Pdia3",2.89508257843777,27.8574549685551,2.48346023419933,0.0455550923740874,0.491348851624095,-4.48203651158376
"RGD1564614",-2.69563016023163,28.0100211116435,-2.48150761836652,0.0456791053495528,0.491348851624095,-4.48216485453666
"Lims1",2.77731279905647,27.9163398582457,2.47384923847239,0.0461689161552735,0.491348851624095,-4.48266913548814
"Coro1a",2.74748155889907,27.9312554783244,2.47286849602874,0.0462320374468066,0.491348851624095,-4.48273381857273
"Apoc3",1.30899773354657,29.7724834305814,2.46972163256624,0.0464351815643685,0.491348851624095,-4.48294152389142
"Rap1b.Rap1a",-0.626717128436791,26.9565898714805,-2.46417088387723,0.0467957840699062,0.491348851624095,-4.48330848829601
"Tuba1b.Tuba1a.Tuba3a",-0.78128377975672,27.2278397941308,-2.44690837150603,0.0479360444264146,0.491348851624095,-4.48445456130723
"Tubb1",-0.940339534445759,30.098469031742,-2.43817365668542,0.048524019115574,0.491348851624095,-4.4850372507283
"Actg1",-1.06152165561916,26.0384739932699,-2.42083435830203,0.0497135925327873,0.491348851624095,-4.48619948115862
"Apoc1.LOC100910181",1.13195509506178,30.1533763994864,2.41830965271417,0.0498893188406883,0.491348851624095,-4.48636932171882
"S100a8",3.22911848208347,27.6904370167322,2.41462948714258,0.0501466274727066,0.491348851624095,-4.48661717043271
"Man1a1",3.40112316886111,27.6044346733434,2.41000345296381,0.0504720298024242,0.491348851624095,-4.48692918941784
"Plek",2.72550064425427,27.9422459356468,2.40478402830801,0.050841811420088,0.491348851624095,-4.48728185803183
"fn.1",3.15703878232473,27.7264768666116,2.40139871847541,0.0510831567637076,0.491348851624095,-4.48751095306074
"X.99",-0.725217287594951,27.0981986220069,-2.39473816593949,0.0515614843375295,0.491348851624095,-4.48796250867609
"LOC680058.Dstn",2.82680013892534,27.8915961883113,2.38393693690505,0.0523470931512353,0.491348851624095,-4.48869707552278
"X.4",-0.803725853730793,28.5949943723246,-2.33002584782674,0.0564580749869303,0.503689166258396,-4.49240562217442
"Slc4a1",1.97682314715437,28.3165846841968,2.31297688244828,0.057826586390428,0.503689166258396,-4.49359294929812
"Fbln1.1",0.685839479105734,27.5794793088302,2.30112063340954,0.0587984412303888,0.503689166258396,-4.49442272792248
"Parvb",-1.26681612559243,26.1938477414617,-2.28094006648696,0.0604915612500988,0.503689166258396,-4.49584276069581
"X.47",-0.851809051351996,30.6206061164887,-2.24933571301042,0.0632446437994535,0.503689166258396,-4.49808589791118
"Vcl",-1.16560558117392,27.8845495919299,-2.23575337676247,0.0644670651605689,0.503689166258396,-4.49905707176444
"Ca2",-0.482206272068161,25.9216116183867,-2.2285961138398,0.0651209518751108,0.503689166258396,-4.49957055443937
"Vcp",-0.791717959215163,29.0161215444099,-2.13809631284104,0.0739989937144176,0.503689166258396,-4.5061637800218
"X.98",-0.780492519144662,26.2625970168282,-2.12890893943211,0.0749666664826893,0.503689166258396,-4.50684332415452
